GRID;Solution;61.378204;Problem size; 50;Time; 4.492367;TSEARCH PRECOMPandOPT; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; -1;
GRID;Solution;59.543204;Problem size; 50;Time; 4.206534;TSEARCH DynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
GRID;Solution;55.378204;Problem size; 50;Time; 4.521733;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
GRID;Solution;52.485281;Problem size; 50;Time; 4.217714;TSEARCH DynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
GRID;Solution;53.721349;Problem size; 50;Time; 4.230795;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
GRID;Solution;51.656854;Problem size; 50;Time; 4.448064;TSEARCH ; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; -1;
GRID;Solution;53.721349;Problem size; 50;Time; 5.259778;TSEARCH PRECOMPandOPT; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; -1;
GRID;Solution;52.892922;Problem size; 50;Time; 43.093990;TSEARCH DynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
GRID;Solution;53.721349;Problem size; 50;Time; 42.882824;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
GRID;Solution;50.828427;Problem size; 50;Time; 428.263354;TSEARCH DynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
GRID;Solution;53.721349;Problem size; 50;Time; 424.299768;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
