RANDN;Solution;337.676219;Problem size; 50;Time; 4.952924;TSEARCH ; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; -1;
RANDN;Solution;346.512342;Problem size; 50;Time; 4.381635;TSEARCH PRECOMPandOPT; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; -1;
RANDN;Solution;350.532478;Problem size; 50;Time; 4.241682;TSEARCH DynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
RANDN;Solution;337.085406;Problem size; 50;Time; 4.345581;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
RANDN;Solution;314.036189;Problem size; 50;Time; 4.297370;TSEARCH DynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
RANDN;Solution;293.053612;Problem size; 50;Time; 4.217471;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
RANDN;Solution;307.497586;Problem size; 50;Time; 4.391620;TSEARCH ; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; -1;
RANDN;Solution;293.053612;Problem size; 50;Time; 4.415221;TSEARCH PRECOMPandOPT; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; -1;
RANDN;Solution;316.154132;Problem size; 50;Time; 42.466397;TSEARCH DynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
RANDN;Solution;293.053612;Problem size; 50;Time; 42.318027;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
RANDN;Solution;315.864562;Problem size; 50;Time; 428.047276;TSEARCH DynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
RANDN;Solution;293.053612;Problem size; 50;Time; 428.716970;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
