ven 15 06 ;RANDN;Solution;26,221374;Problem size;10;Time;0,00001;GREEDYOPTSolution;26,221374;Problem size;10;Time;0,001095;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;39,909551;Problem size;10;Time;0,00001;GREEDYOPTSolution;39,909551;Problem size;10;Time;0,002007;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;20,233345;Problem size;10;Time;0,00001;GREEDYOPTSolution;18,395623;Problem size;10;Time;0,000982;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;27,526363;Problem size;10;Time;0,00001;GREEDYOPTSolution;25,201807;Problem size;10;Time;0,001772;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;29,693261;Problem size;10;Time;0,000008;GREEDYOPTSolution;25,560783;Problem size;10;Time;0,001018;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;35,330798;Problem size;10;Time;0,000012;GREEDYOPTSolution;35,330798;Problem size;10;Time;0,001207;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;30,883627;Problem size;10;Time;0,000009;GREEDYOPTSolution;30,883627;Problem size;10;Time;0,001029;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;26,601814;Problem size;10;Time;0,000009;GREEDYOPTSolution;26,601814;Problem size;10;Time;0,000809;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;28,326714;Problem size;10;Time;0,00001;GREEDYOPTSolution;23,326714;Problem size;10;Time;0,000838;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;27,933354;Problem size;10;Time;0,00001;GREEDYOPTSolution;21,850591;Problem size;10;Time;0,001527;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;389,503286;Problem size;50;Time;0,000046;GREEDYOPTSolution;366,825047;Problem size;50;Time;0,007734;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;328,915713;Problem size;50;Time;0,000046;GREEDYOPTSolution;321,124959;Problem size;50;Time;0,006751;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;323,472432;Problem size;50;Time;0,000046;GREEDYOPTSolution;303,086961;Problem size;50;Time;0,005997;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;340,42269;Problem size;50;Time;0,000045;GREEDYOPTSolution;321,597888;Problem size;50;Time;0,007287;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;329,620583;Problem size;50;Time;0,000045;GREEDYOPTSolution;298,315631;Problem size;50;Time;0,005808;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;309,361613;Problem size;50;Time;0,000047;GREEDYOPTSolution;307,190665;Problem size;50;Time;0,006597;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;364,333331;Problem size;50;Time;0,000068;GREEDYOPTSolution;318,173764;Problem size;50;Time;0,006711;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;360,067048;Problem size;50;Time;0,000047;GREEDYOPTSolution;309,542235;Problem size;50;Time;0,007105;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;320,019747;Problem size;50;Time;0,000067;GREEDYOPTSolution;295,038411;Problem size;50;Time;0,005986;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;304,054046;Problem size;50;Time;0,000045;GREEDYOPTSolution;298,778199;Problem size;50;Time;0,006451;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;984,036751;Problem size;100;Time;0,000148;GREEDYOPTSolution;915,860477;Problem size;100;Time;0,062812;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;964,752676;Problem size;100;Time;0,000197;GREEDYOPTSolution;945,17521;Problem size;100;Time;0,062128;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;980,145759;Problem size;100;Time;0,000185;GREEDYOPTSolution;949,643383;Problem size;100;Time;0,068571;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;958,186049;Problem size;100;Time;0,000199;GREEDYOPTSolution;918,508556;Problem size;100;Time;0,087859;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;989,938873;Problem size;100;Time;0,000196;GREEDYOPTSolution;939,287053;Problem size;100;Time;0,067699;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;956,831888;Problem size;100;Time;0,000197;GREEDYOPTSolution;836,477325;Problem size;100;Time;0,055129;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;980,080601;Problem size;100;Time;0,000129;GREEDYOPTSolution;948,093006;Problem size;100;Time;0,064309;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;987,378638;Problem size;100;Time;0,000191;GREEDYOPTSolution;856,011738;Problem size;100;Time;0,074255;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;969,733115;Problem size;100;Time;0,000127;GREEDYOPTSolution;927,452471;Problem size;100;Time;0,068315;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;935,044185;Problem size;100;Time;0,000126;GREEDYOPTSolution;817,979493;Problem size;100;Time;0,061602;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;2638,571895;Problem size;200;Time;0,000391;GREEDYOPTSolution;2534,755962;Problem size;200;Time;0,581122;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;2859,696024;Problem size;200;Time;0,000401;GREEDYOPTSolution;2635,178781;Problem size;200;Time;0,396081;GREEDYOPT_2OPT
ven 15 06 ;RANDN;Solution;2509,47293;Problem size;200;Time;0,000388;GREEDYOPTSolution;2419,169868;Problem size;200;Time;0,372574;GREEDYOPT_2OPT
