;Solution;Problem size;;Time;; ListLenght; MaxIter
RANDN;294,030961;50;Time;0,042078;TSEARCH;10000;1000
RANDN;298,857538;50;Time;0,046131;TSEARCH;10000;1000
RANDN;288,523075;50;Time;0,042401;TSEARCH;10000;1000
RANDN;285,330486;50;Time;0,045137;TSEARCH;10000;1000
RANDN;817,49323;100;Time;0,185621;TSEARCH;10000;1000
RANDN;799,249783;100;Time;0,165064;TSEARCH;10000;1000
RANDN;838,536714;100;Time;0,159444;TSEARCH;10000;1000
RANDN;859,412373;100;Time;0,160604;TSEARCH;10000;1000
RANDN;876,292574;100;Time;0,157323;TSEARCH;10000;1000
RANDN;810,152431;100;Time;0,181304;TSEARCH;10000;1000
RANDN;827,389281;100;Time;0,179944;TSEARCH;10000;1000
RANDN;841,164046;100;Time;0,159124;TSEARCH;10000;1000
RANDN;872,355639;100;Time;0,168923;TSEARCH;10000;1000
RANDN;825,427249;100;Time;0,164173;TSEARCH;10000;1000
RANDN;2278,750814;200;Time;0,724101;TSEARCH;10000;1000
RANDN;2299,997718;200;Time;0,680188;TSEARCH;10000;1000
RANDN;2232,964204;200;Time;0,70342;TSEARCH;10000;1000
RANDN;2384,236419;200;Time;0,020796;TSEARCH;10000;1000
RANDN;2409,172173;200;Time;0,682476;TSEARCH;10000;1000
RANDN;2333,896057;200;Time;0,692707;TSEARCH;10000;1000
RANDN;2343,761838;200;Time;0,023302;TSEARCH;10000;1000
RANDN;2451,613998;200;Time;0,020106;TSEARCH;10000;1000
RANDN;2392,944015;200;Time;0,684641;TSEARCH;10000;1000
RANDN;2249,324029;200;Time;0,705681;TSEARCH;10000;1000
;;;;;;;
RANDN;27,531233;10;Time;0,014998;TSEARCH;100000;1000
RANDN;33,300563;10;Time;0,014942;TSEARCH;100000;1000
RANDN;21,98141;10;Time;0,01581;TSEARCH;100000;1000
RANDN;29,369394;10;Time;0,016398;TSEARCH;100000;1000
RANDN;26,912501;10;Time;0,016524;TSEARCH;100000;1000
RANDN;31,667048;10;Time;0,015325;TSEARCH;100000;1000
RANDN;30,33737;10;Time;0,014736;TSEARCH;100000;1000
RANDN;25,299392;10;Time;0,015145;TSEARCH;100000;1000
RANDN;28,779272;10;Time;0,014945;TSEARCH;100000;1000
RANDN;26,717176;10;Time;0,014564;TSEARCH;100000;1000
RANDN;306,221203;50;Time;0,431234;TSEARCH;100000;1000
RANDN;301,630453;50;Time;0,420218;TSEARCH;100000;1000
RANDN;295,211002;50;Time;0,43298;TSEARCH;100000;1000
RANDN;306,300595;50;Time;0,425621;TSEARCH;100000;1000
RANDN;311,706122;50;Time;0,442693;TSEARCH;100000;1000
RANDN;326,594081;50;Time;0,427011;TSEARCH;100000;1000
RANDN;299,031505;50;Time;0,423877;TSEARCH;100000;1000
RANDN;316,363597;50;Time;0,445668;TSEARCH;100000;1000
RANDN;305,481609;50;Time;0,426429;TSEARCH;100000;1000
RANDN;276,283556;50;Time;0,471103;TSEARCH;100000;1000
RANDN;853,889149;100;Time;1,703539;TSEARCH;100000;1000
RANDN;819,194696;100;Time;1,672085;TSEARCH;100000;1000
RANDN;865,573091;100;Time;1,664468;TSEARCH;100000;1000
RANDN;823,144974;100;Time;1,659393;TSEARCH;100000;1000
RANDN;869,973552;100;Time;1,788581;TSEARCH;100000;1000
RANDN;853,273628;100;Time;1,964898;TSEARCH;100000;1000
RANDN;856,813092;100;Time;2,08027;TSEARCH;100000;1000
RANDN;836,272069;100;Time;1,698214;TSEARCH;100000;1000
RANDN;850,967752;100;Time;1,688946;TSEARCH;100000;1000
RANDN;789,128511;100;Time;1,645991;TSEARCH;100000;1000
RANDN;2846,560576;200;Time;0,031726;TSEARCH;100000;1000
RANDN;2401,504531;200;Time;7,173007;TSEARCH;100000;1000
RANDN;2279,568638;200;Time;7,336743;TSEARCH;100000;1000
RANDN;2386,07177;200;Time;7,280453;TSEARCH;100000;1000
RANDN;3077,556198;200;Time;0,022171;TSEARCH;100000;1000
RANDN;2353,159355;200;Time;7,324851;TSEARCH;100000;1000
RANDN;2237,993138;200;Time;7,401028;TSEARCH;100000;1000
RANDN;2350,404748;200;Time;7,384971;TSEARCH;100000;1000
RANDN;2411,178147;200;Time;0,010821;TSEARCH;100000;1000
RANDN;2262,825024;200;Time;7,363456;TSEARCH;100000;1000
;;;;;;;
RANDN;988,407028;100;Time;16,428565;TSEARCH;10000;1000000
RANDN;976,169495;100;Time;17,117941;TSEARCH;10000;1000000
RANDN;994,386805;100;Time;16,460176;TSEARCH;10000;1000000
RANDN;862,13431;100;Time;16,559276;TSEARCH;10000;1000000
RANDN;998,041967;100;Time;16,334904;TSEARCH;10000;1000000
RANDN;935,896479;100;Time;17,083602;TSEARCH;10000;1000000
RANDN;1009,908612;100;Time;16,458523;TSEARCH;10000;1000000
RANDN;953,331141;100;Time;16,392634;TSEARCH;10000;1000000
RANDN;982,930148;100;Time;16,476868;TSEARCH;10000;1000000
RANDN;954,802828;100;Time;17,171369;TSEARCH;10000;1000000
RANDN;33,967747;10;Time;0,00029;TSEARCH;100;1000
RANDN;39,892599;10;Time;0,000224;TSEARCH;100;1000
RANDN;25,131743;10;Time;0,000199;TSEARCH;100;1000
RANDN;31,836023;10;Time;0,000181;TSEARCH;100;1000
RANDN;31,78367;10;Time;0,000303;TSEARCH;100;1000
RANDN;35,386535;10;Time;0,000185;TSEARCH;100;1000
RANDN;34,149984;10;Time;0,000188;TSEARCH;100;1000
RANDN;25,551328;10;Time;0,000211;TSEARCH;100;1000
RANDN;28,779272;10;Time;0,000266;TSEARCH;100;1000
RANDN;30,633351;10;Time;0,000181;TSEARCH;100;1000
RANDN;2740,182973;200;Time;587,716411;TSEARCH;40000;8000000
RANDN;2646,830157;200;Time;582,516276;TSEARCH;40000;8000000
RANDN;2645,534737;200;Time;587,558712;TSEARCH;40000;8000000
RANDN;2814,596506;200;Time;585,958464;TSEARCH;40000;8000000
RANDN;2839,878485;200;Time;580,786545;TSEARCH;40000;8000000
RANDN;2665,40777;200;Time;584,905038;TSEARCH;40000;8000000
RANDN;2734,677959;200;Time;582,234225;TSEARCH;40000;8000000
RANDN;2761,670845;200;Time;583,371;TSEARCH;40000;8000000
RANDN;2708,474875;200;Time;577,828271;TSEARCH;40000;8000000
RANDN;2757,178651;200;Time;583,433841;TSEARCH;40000;8000000
RANDN;325,476488;50;Time;0,553635;TSEARCH;2500;125000
RANDN;339,022924;50;Time;0,534201;TSEARCH;2500;125000
RANDN;348,914305;50;Time;0,557231;TSEARCH;2500;125000
RANDN;357,967689;50;Time;0,537285;TSEARCH;2500;125000
RANDN;359,421763;50;Time;0,536426;TSEARCH;2500;125000
RANDN;323,951063;50;Time;0,560145;TSEARCH;2500;125000
RANDN;337,955455;50;Time;0,532854;TSEARCH;2500;125000
RANDN;347,811081;50;Time;0,533621;TSEARCH;2500;125000
RANDN;309,986906;50;Time;0,561594;TSEARCH;2500;125000
RANDN;313,11628;50;Time;0,527093;TSEARCH;2500;125000
;;;;;;;
RANDN;995,293244;100;Time;16,10568;TSEARCHDynamicTL;100;1000000
RANDN;922,344372;100;Time;15,836929;TSEARCHDynamicTL;100;1000000
RANDN;932,687002;100;Time;15,841694;TSEARCHDynamicTL;100;1000000
RANDN;983,486739;100;Time;16,262502;TSEARCHDynamicTL;100;1000000
RANDN;1018,124101;100;Time;16,436935;TSEARCHDynamicTL;100;1000000
RANDN;968,004882;100;Time;16,799944;TSEARCHDynamicTL;100;1000000
RANDN;996,174437;100;Time;16,260039;TSEARCHDynamicTL;100;1000000
RANDN;1006,089648;100;Time;16,30537;TSEARCHDynamicTL;100;1000000
RANDN;942,860432;100;Time;16,316423;TSEARCHDynamicTL;100;1000000
RANDN;935,055949;100;Time;16,074711;TSEARCHDynamicTL;100;1000000
RANDN;962,771408;100;Time;16,994026;TSEARCHDynamicTL;1000;1000000
RANDN;962,894468;100;Time;16,32393;TSEARCHDynamicTL;1000;1000000
RANDN;950,332221;100;Time;17,108556;TSEARCHDynamicTL;1000;1000000
RANDN;978,722455;100;Time;16,510462;TSEARCHDynamicTL;1000;1000000
RANDN;1007,838348;100;Time;17,204654;TSEARCHDynamicTL;1000;1000000
RANDN;940,520387;100;Time;16,398855;TSEARCHDynamicTL;1000;1000000
RANDN;1000,177274;100;Time;17,051217;TSEARCHDynamicTL;1000;1000000
RANDN;985,539389;100;Time;16,457279;TSEARCHDynamicTL;1000;1000000
RANDN;1003,441378;100;Time;16,883631;TSEARCHDynamicTL;1000;1000000
RANDN;891,3556;100;Time;16,354208;TSEARCHDynamicTL;1000;1000000
;;;;;;;
RANDN;32,504964;10;Time;0,000264;TSEARCHDynamicTL;10;1000
RANDN;36,396471;10;Time;0,000349;TSEARCHDynamicTL;10;1000
RANDN;25,12428;10;Time;0,000365;TSEARCHDynamicTL;10;1000
RANDN;30,733371;10;Time;0,000274;TSEARCHDynamicTL;10;1000
RANDN;27,385325;10;Time;0,000269;TSEARCHDynamicTL;10;1000
RANDN;35,312744;10;Time;0,000248;TSEARCHDynamicTL;10;1000
RANDN;35,305019;10;Time;0,000256;TSEARCHDynamicTL;10;1000
RANDN;29,576651;10;Time;0,000305;TSEARCHDynamicTL;10;1000
RANDN;30,50843;10;Time;0,000304;TSEARCHDynamicTL;10;1000
RANDN;27,933354;10;Time;0,000382;TSEARCHDynamicTL;10;1000
RANDN;34,47256;10;Time;0,00021;TSEARCHDynamicTL;100;1000
RANDN;35,676529;10;Time;0,000357;TSEARCHDynamicTL;100;1000
RANDN;23,224062;10;Time;0,000355;TSEARCHDynamicTL;100;1000
RANDN;31,836023;10;Time;0,000228;TSEARCHDynamicTL;100;1000
RANDN;31,42832;10;Time;0,000172;TSEARCHDynamicTL;100;1000
RANDN;35,919177;10;Time;0,000182;TSEARCHDynamicTL;100;1000
RANDN;35,305019;10;Time;0,000324;TSEARCHDynamicTL;100;1000
RANDN;29,014367;10;Time;0,000182;TSEARCHDynamicTL;100;1000
RANDN;29,250925;10;Time;0,000316;TSEARCHDynamicTL;100;1000
RANDN;27,481108;10;Time;0,00019;TSEARCHDynamicTL;100;1000
;;;;;;;
RANDN;2740,136912;200;Time;524,609691;TSEARCHDynamicTL;200;8000000
